Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Александр Бем;Тюмень;238;96;З П;-;-;-;-;-;1.00;1.00;-;-;-;1.00;-;-;-;-;-;52.00;87 %;1.00;100 %;3.00;67 %;7.00;57 %;1.00;100 %;-;-;3.00;67 %;6.00;50 %;6.00;3.00;1.00;10.00;6.00;2.00;11.00;45 %;6.00;50 %;5.00;40 %;4.00;50 %;-;-;-;-;2.00;100 %;9.00;6.00;1;1.00;-;-;81.00;67.00;83 %;-;-;-;-;0.37;-;-;-;1.79;0.57;1.22;0.08;0.08;45.00;1.00;2.00;4.00;1.00;-;2.00;3.00;5.00;3.00;2.00;2.00;-;-;2.00
Иван Чудин;ФК Акрон Тольятти;195;96;ЗП ПЦ;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-;-;-;-;43.00;91 %;-;-;-;-;6.00;67 %;1.00;100 %;-;-;1.00;100 %;-;-;5.00;1.00;-;5.00;1.00;2.00;17.00;59 %;7.00;43 %;10.00;70 %;5.00;60 %;4.00;75 %;-;-;2.00;50 %;3.00;10.00;1;1.00;-;-;75.00;64.00;85 %;-;-;-;-;-;-;-;-;0.57;1.79;-1.22;0.47;0.16;39.00;-;-;4.00;1.00;-;1.00;-;10.00;3.00;7.00;3.00;3.00;-;1.00
Егор Данилкин;ФК Акрон Тольятти;227;96;З ЛЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;63.00;92 %;-;-;-;-;8.00;88 %;4.00;50 %;2.00;50 %;1.00;100 %;1.00;100 %;2.00;1.00;-;10.00;1.00;-;9.00;89 %;8.00;88 %;1.00;100 %;3.00;100 %;-;-;-;-;2.00;50 %;5.00;10.00;1;1.00;-;-;87.00;81.00;93 %;-;-;-;-;-;-;-;-;0.57;1.79;-1.22;0.14;0.14;58.00;-;-;7.00;2.00;1.00;1.00;1.00;8.00;7.00;1.00;3.00;-;-;1.00
Николай Гиоргобиани;Алания Владикавказ;207;96;АП Л;-;-;2.00;-;0 %;1.00;1.00;4.00;-;-;1.00;-;-;2.00;1.00;0.43;31.00;58 %;2.00;50 %;1.00;0 %;8.00;63 %;-;-;-;-;3.00;67 %;3.00;33 %;13.00;-;2.00;2.00;1.00;2.00;18.00;39 %;5.00;20 %;13.00;46 %;5.00;40 %;2.00;100 %;-;-;5.00;20 %;2.00;3.00;1;1.00;-;-;60.00;33.00;55 %;50 %;1.00;-;-;0.45;0.21;-;0.00;1.77;1.9;0.68;-;-;18.00;1.00;-;5.00;-;-;2.00;1.00;7.00;1.00;6.00;2.00;2.00;-;1.00
Азамат Гурфов;Кубань Краснодар;195;96;АП Ц;-;-;1.00;-;0 %;-;2.00;-;-;-;-;-;-;1.00;1.00;0.09;55.00;78 %;2.00;0 %;1.00;100 %;12.00;67 %;3.00;33 %;-;-;6.00;50 %;6.00;67 %;9.00;3.00;-;1.00;-;6.00;17.00;41 %;3.00;33 %;14.00;43 %;6.00;67 %;3.00;33 %;2.00;0 %;2.00;0 %;-;9.00;1;1.00;-;-;90.00;68.00;76 %;100 %;-;-;-;0.37;0.09;-;0.00;1.9;1.77;-0.68;-;-;43.00;-;1.00;8.00;1.00;-;3.00;4.00;7.00;1.00;6.00;4.00;1.00;-;-
Вадим Конюхов;ФК Акрон Тольятти;211;96;ЗЛ;-;-;-;-;-;-;-;2.00;-;-;-;-;1.00;-;-;-;47.00;74 %;-;-;5.00;20 %;6.00;33 %;6.00;67 %;3.00;67 %;6.00;33 %;3.00;33 %;14.00;6.00;3.00;6.00;2.00;3.00;11.00;64 %;7.00;71 %;4.00;50 %;3.00;33 %;1.00;100 %;-;-;1.00;100 %;1.00;4.00;1;1.00;-;-;70.00;51.00;73 %;-;-;-;-;-;-;-;-;0.57;1.79;-1.22;0.16;0.16;35.00;-;1.00;2.00;4.00;2.00;2.00;1.00;7.00;5.00;2.00;1.00;1.00;-;1.00
Гаррик Левин;Кубань Краснодар;181;96;АП П;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;3.00;2.00;0.43;18.00;67 %;-;-;2.00;50 %;3.00;33 %;-;-;-;-;-;-;2.00;0 %;6.00;1.00;1.00;2.00;1.00;1.00;15.00;40 %;7.00;71 %;8.00;13 %;6.00;33 %;-;-;-;-;3.00;100 %;1.00;5.00;1;1.00;-;-;44.00;27.00;61 %;67 %;1.00;-;-;0.15;0.14;-;0.00;1.9;1.77;-0.68;-;-;12.00;-;1.00;1.00;-;-;-;-;6.00;5.00;1.00;2.00;-;-;3.00
Гиорги Махатадзе;Кубань Краснодар;217;96;ЗП ПЦ;-;-;-;-;-;2.00;1.00;2.00;-;1.00;-;-;-;1.00;-;0.03;85.00;87 %;1.00;100 %;1.00;100 %;23.00;78 %;10.00;70 %;3.00;33 %;14.00;64 %;7.00;43 %;9.00;2.00;-;6.00;2.00;3.00;19.00;63 %;6.00;17 %;13.00;85 %;3.00;33 %;7.00;71 %;2.00;50 %;3.00;33 %;6.00;7.00;1;1.00;-;-;121.00;102.00;84 %;0 %;-;1.00;-;0.31;0.03;-;0.00;1.9;1.77;-0.68;-;-;74.00;1.00;1.00;18.00;7.00;1.00;9.00;3.00;12.00;1.00;11.00;1.00;5.00;1.00;1.00
Никита Печенкин;Тюмень;240;96;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;44.00;89 %;-;-;-;-;7.00;71 %;1.00;0 %;1.00;0 %;4.00;75 %;-;-;3.00;1.00;-;11.00;-;2.00;21.00;62 %;15.00;73 %;6.00;33 %;13.00;77 %;-;-;-;-;4.00;50 %;4.00;6.00;1;1.00;-;-;78.00;65.00;83 %;-;-;-;-;0.60;-;-;-;1.79;0.57;1.22;0.05;0.03;39.00;-;-;5.00;-;-;3.00;-;13.00;11.00;2.00;10.00;-;-;2.00
Константин Плиев;Алания Владикавказ;193;96;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;39.00;95 %;-;-;-;-;8.00;88 %;6.00;67 %;1.00;0 %;1.00;0 %;-;-;3.00;2.00;-;5.00;-;-;6.00;67 %;4.00;50 %;2.00;100 %;2.00;50 %;1.00;100 %;-;-;1.00;100 %;6.00;5.00;1;1.00;-;-;57.00;53.00;93 %;-;-;-;-;-;-;-;-;1.77;1.9;0.68;0.07;0.04;37.00;-;-;7.00;4.00;-;-;-;4.00;2.00;2.00;1.00;1.00;-;1.00
Денис Самойлов;Тюмень;216;96;ЗП ПЦ;-;-;-;-;-;-;4.00;1.00;-;-;-;-;-;1.00;-;0.09;55.00;89 %;-;-;-;-;8.00;88 %;2.00;50 %;-;-;4.00;75 %;1.00;100 %;5.00;1.00;1.00;6.00;4.00;5.00;14.00;43 %;10.00;40 %;4.00;50 %;4.00;25 %;1.00;100 %;-;-;6.00;50 %;3.00;18.00;1;1.00;-;-;98.00;82.00;84 %;0 %;1.00;-;-;-;0.09;-;0.00;1.79;0.57;1.22;-;-;49.00;-;-;7.00;1.00;-;3.00;1.00;6.00;4.00;2.00;1.00;1.00;-;3.00
Константин Савичев;ФК Акрон Тольятти;214;96;З П;-;-;1.00;-;0 %;1.00;1.00;1.00;-;1.00;-;-;-;1.00;1.00;0.75;39.00;95 %;1.00;100 %;1.00;0 %;2.00;100 %;1.00;100 %;-;-;2.00;100 %;3.00;67 %;3.00;1.00;-;9.00;1.00;2.00;13.00;46 %;11.00;55 %;2.00;0 %;3.00;67 %;-;-;-;-;3.00;67 %;8.00;4.00;1;1.00;-;-;68.00;59.00;87 %;100 %;-;-;-;-;0.75;-;0.00;0.57;1.79;-1.22;0.03;0.03;37.00;1.00;-;2.00;1.00;-;2.00;2.00;6.00;6.00;-;2.00;-;-;2.00
Давид Шавлохов;Алания Владикавказ;232;96;ЗЛ;-;-;1.00;-;0 %;-;1.00;2.00;-;-;-;-;-;2.00;1.00;0.13;39.00;67 %;-;-;2.00;0 %;10.00;50 %;5.00;40 %;1.00;100 %;9.00;67 %;2.00;0 %;8.00;3.00;-;6.00;2.00;2.00;17.00;76 %;12.00;75 %;5.00;80 %;6.00;83 %;3.00;100 %;1.00;100 %;2.00;50 %;5.00;8.00;1;1.00;-;-;73.00;55.00;75 %;50 %;1.00;-;-;0.18;0.07;-;0.00;1.77;1.9;0.68;0.07;0.04;26.00;-;-;5.00;2.00;1.00;6.00;-;13.00;9.00;4.00;5.00;3.00;1.00;1.00
Виталий Шитов;Тюмень;209;96;АП П;-;-;-;-;-;-;3.00;4.00;-;-;1.00;-;-;1.00;-;0.15;34.00;62 %;1.00;0 %;2.00;0 %;4.00;25 %;3.00;67 %;-;-;2.00;50 %;9.00;44 %;14.00;5.00;-;6.00;3.00;1.00;20.00;35 %;9.00;33 %;11.00;36 %;6.00;33 %;4.00;50 %;1.00;100 %;4.00;50 %;3.00;7.00;1;1.00;-;-;67.00;40.00;60 %;0 %;-;1.00;-;0.42;0.15;-;0.00;1.79;0.57;1.22;0.03;0.03;21.00;-;-;1.00;2.00;-;1.00;4.00;7.00;3.00;4.00;2.00;2.00;1.00;2.00
Антон Синяк;Тюмень;271;96;ЗЛ;1.00;1.00;1.00;1.00;100 %;2.00;-;-;-;-;-;-;-;1.00;1.00;0.15;47.00;87 %;-;-;6.00;50 %;2.00;100 %;1.00;100 %;-;-;2.00;100 %;8.00;75 %;5.00;-;1.00;6.00;2.00;1.00;14.00;57 %;9.00;56 %;5.00;60 %;5.00;60 %;2.00;50 %;2.00;50 %;2.00;100 %;2.00;8.00;1;1.00;-;-;74.00;61.00;82 %;100 %;-;-;-;0.44;0.15;0.15;6.67;1.79;0.57;1.22;-;-;41.00;-;3.00;2.00;1.00;-;2.00;6.00;8.00;5.00;3.00;3.00;1.00;1.00;2.00
Сослан Таказов;Кубань Краснодар;197;96;З ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;1.00;-;-;1.00;-;0.06;57.00;89 %;-;-;-;-;13.00;77 %;3.00;67 %;1.00;0 %;5.00;60 %;1.00;100 %;3.00;1.00;-;10.00;2.00;-;16.00;38 %;13.00;38 %;3.00;33 %;7.00;57 %;-;-;-;-;6.00;0 %;10.00;19.00;1;1.00;-;-;105.00;88.00;84 %;0 %;-;1.00;-;-;0.06;-;0.00;1.9;1.77;-0.68;0.11;0.06;51.00;-;-;10.00;2.00;-;3.00;1.00;6.00;5.00;1.00;4.00;-;-;-
Иван Темников;Кубань Краснодар;205;96;З П;-;-;-;-;-;1.00;3.00;-;-;-;-;-;-;2.00;-;0.03;66.00;70 %;2.00;50 %;7.00;0 %;13.00;31 %;4.00;25 %;-;-;5.00;60 %;7.00;29 %;10.00;4.00;-;5.00;1.00;2.00;6.00;50 %;3.00;67 %;3.00;33 %;-;-;-;-;-;-;3.00;67 %;4.00;11.00;1;1.00;-;-;91.00;66.00;73 %;0 %;2.00;-;-;0.71;0.01;-;0.00;1.9;1.77;-0.68;-;-;46.00;1.00;-;4.00;1.00;-;3.00;2.00;3.00;2.00;1.00;-;-;-;2.00
Ибрагим Цаллагов;Алания Владикавказ;235;96;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;-;0.03;35.00;86 %;-;-;-;-;13.00;85 %;2.00;50 %;1.00;0 %;9.00;78 %;2.00;100 %;3.00;1.00;-;9.00;5.00;-;13.00;62 %;11.00;64 %;2.00;50 %;5.00;20 %;-;-;-;-;5.00;100 %;5.00;8.00;1;1.00;-;-;64.00;51.00;80 %;0 %;3.00;-;-;-;0.01;-;0.00;1.77;1.9;0.68;-;-;30.00;-;-;11.00;1.00;-;7.00;2.00;8.00;7.00;1.00;1.00;-;-;5.00
Ислам Жилов;Кубань Краснодар;181;96;ЗЛ;-;-;-;-;-;-;1.00;1.00;1.00;3.00;-;-;-;-;-;-;42.00;93 %;-;-;-;-;6.00;83 %;1.00;0 %;1.00;0 %;4.00;75 %;1.00;100 %;3.00;1.00;1.00;3.00;1.00;6.00;11.00;45 %;6.00;33 %;5.00;60 %;2.00;50 %;4.00;75 %;1.00;0 %;1.00;0 %;3.00;2.00;1;1.00;-;-;65.00;55.00;85 %;-;-;-;-;-;-;-;-;1.9;1.77;-0.68;0.38;0.19;39.00;-;-;5.00;-;-;3.00;1.00;5.00;2.00;3.00;1.00;3.00;-;-
Андрей Анисимов;ФК Волгарь;204;95;ЗП Ц;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;39.00;82 %;-;-;1.00;100 %;10.00;60 %;2.00;100 %;1.00;100 %;6.00;83 %;3.00;67 %;3.00;-;1.00;5.00;1.00;-;12.00;58 %;8.00;63 %;4.00;50 %;2.00;50 %;1.00;0 %;-;-;3.00;67 %;6.00;6.00;1;1.00;-;-;64.00;51.00;80 %;-;-;-;-;0.05;-;-;-;0.40;0.57;-0.17;0.10;0.05;32.00;-;1.00;6.00;2.00;1.00;5.00;2.00;7.00;5.00;2.00;1.00;-;-;2.00
Артур Гилязетдинов;ФК Волгарь;225;95;З П;-;-;-;-;-;-;3.00;2.00;-;1.00;-;-;-;-;-;-;49.00;82 %;-;-;1.00;0 %;10.00;90 %;2.00;50 %;1.00;0 %;7.00;71 %;4.00;100 %;8.00;3.00;1.00;6.00;1.00;2.00;20.00;55 %;7.00;57 %;13.00;54 %;4.00;75 %;4.00;75 %;3.00;67 %;4.00;75 %;6.00;10.00;1;1.00;-;-;88.00;69.00;78 %;-;-;-;-;-;-;-;-;0.40;0.57;-0.17;0.22;0.11;40.00;-;-;9.00;1.00;-;5.00;4.00;11.00;4.00;7.00;3.00;3.00;2.00;3.00
Петар Голубович;Химки;239;95;З ПЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;2.00;1.00;0.02;79.00;80 %;-;-;2.00;0 %;20.00;65 %;6.00;67 %;-;-;10.00;70 %;5.00;20 %;9.00;2.00;-;13.00;4.00;2.00;13.00;77 %;10.00;90 %;3.00;33 %;5.00;80 %;1.00;0 %;1.00;0 %;3.00;100 %;13.00;8.00;1;1.00;-;-;118.00;98.00;83 %;50 %;-;1.00;-;-;0.01;-;0.00;0.57;0.40;0.17;0.16;0.05;63.00;-;-;13.00;4.00;-;7.00;1.00;10.00;9.00;1.00;4.00;-;-;3.00
Иван Хомуха;ФК Волгарь;207;95;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38.00;84 %;-;-;-;-;8.00;63 %;2.00;0 %;-;-;3.00;33 %;-;-;5.00;2.00;1.00;12.00;2.00;2.00;11.00;64 %;7.00;57 %;4.00;75 %;7.00;71 %;-;-;-;-;-;-;13.00;8.00;1;1.00;-;-;74.00;63.00;85 %;-;-;-;-;-;-;-;-;0.40;0.57;-0.17;0.01;0.01;32.00;-;-;5.00;-;-;1.00;-;7.00;4.00;3.00;5.00;-;-;-
Хетаг Хосонов;Химки;171;95;ЗП ЛЦ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;47.00;62 %;1.00;0 %;3.00;0 %;13.00;38 %;2.00;100 %;-;-;6.00;33 %;8.00;25 %;15.00;3.00;-;6.00;1.00;1.00;17.00;29 %;7.00;43 %;10.00;20 %;4.00;0 %;2.00;100 %;1.00;100 %;3.00;67 %;3.00;5.00;1;1.00;-;-;73.00;43.00;59 %;-;-;-;-;0.01;-;-;-;0.57;0.40;0.17;-;-;29.00;-;-;5.00;2.00;-;2.00;2.00;5.00;3.00;2.00;-;2.00;1.00;2.00
Данил Кленкин;ФК Волгарь;196;95;П ПЦ;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;1.00;-;-;-;29.00;86 %;1.00;100 %;1.00;0 %;6.00;67 %;2.00;100 %;-;-;4.00;75 %;1.00;100 %;7.00;2.00;1.00;1.00;1.00;1.00;16.00;38 %;3.00;0 %;13.00;46 %;6.00;50 %;2.00;100 %;-;-;-;-;5.00;5.00;1;1.00;-;-;58.00;43.00;74 %;-;-;-;-;0.02;-;-;-;0.40;0.57;-0.17;-;-;25.00;1.00;-;4.00;2.00;-;3.00;1.00;6.00;-;6.00;3.00;2.00;-;-
Равиль Нетфуллин;Химки;179;95;ЗП ПЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;2.00;-;0.05;49.00;78 %;-;-;2.00;50 %;10.00;40 %;1.00;0 %;-;-;6.00;50 %;3.00;33 %;8.00;2.00;2.00;2.00;1.00;2.00;12.00;42 %;6.00;33 %;6.00;50 %;4.00;25 %;1.00;100 %;1.00;100 %;3.00;67 %;2.00;3.00;1;1.00;-;-;72.00;50.00;69 %;0 %;-;2.00;-;0.09;0.03;-;0.00;0.57;0.40;0.17;-;-;38.00;-;1.00;4.00;-;-;3.00;1.00;5.00;2.00;3.00;1.00;1.00;1.00;2.00
Павел Шакуро;ФК Волгарь;225;95;ЗЛ;-;-;-;-;-;1.00;2.00;1.00;-;-;-;-;-;-;-;-;52.00;79 %;1.00;0 %;4.00;50 %;12.00;58 %;4.00;25 %;2.00;0 %;8.00;50 %;7.00;57 %;9.00;1.00;1.00;5.00;1.00;4.00;13.00;62 %;7.00;57 %;6.00;67 %;2.00;100 %;2.00;50 %;1.00;0 %;1.00;0 %;5.00;8.00;1;1.00;-;-;84.00;67.00;80 %;-;-;-;-;0.11;-;-;-;0.40;0.57;-0.17;0.03;0.03;41.00;-;2.00;7.00;1.00;-;4.00;4.00;8.00;4.00;4.00;2.00;1.00;-;-
Денис Ткачук;ФК Волгарь;221;95;АП П;-;-;-;-;-;1.00;3.00;3.00;-;-;1.00;-;1.00;3.00;-;0.08;34.00;62 %;3.00;33 %;5.00;20 %;7.00;71 %;3.00;67 %;-;-;7.00;57 %;12.00;33 %;10.00;2.00;3.00;2.00;1.00;2.00;25.00;48 %;7.00;29 %;18.00;56 %;11.00;36 %;4.00;75 %;3.00;67 %;2.00;0 %;3.00;4.00;1;1.00;-;-;74.00;42.00;57 %;0 %;2.00;1.00;-;0.14;0.03;-;0.00;0.40;0.57;-0.17;-;-;21.00;1.00;1.00;5.00;2.00;-;4.00;4.00;12.00;2.00;10.00;4.00;3.00;2.00;-
Сергей Варатынов;Химки;203;95;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;2.00;-;-;-;-;-;-;74.00;92 %;-;-;-;-;22.00;82 %;6.00;67 %;1.00;100 %;4.00;50 %;2.00;50 %;3.00;-;-;9.00;-;1.00;21.00;67 %;19.00;68 %;2.00;50 %;10.00;70 %;1.00;100 %;-;-;7.00;71 %;5.00;12.00;1;1.00;-;-;113.00;100.00;89 %;-;-;-;-;0.01;-;-;-;0.57;0.40;0.17;0.16;0.08;68.00;-;-;18.00;4.00;1.00;2.00;1.00;14.00;13.00;1.00;7.00;1.00;-;5.00
Захар Волков;Химки;207;95;З Ц;-;-;-;-;-;-;2.00;1.00;-;1.00;-;-;-;-;-;-;58.00;91 %;-;-;-;-;12.00;92 %;1.00;100 %;-;-;3.00;100 %;-;-;1.00;1.00;-;13.00;1.00;2.00;24.00;63 %;18.00;56 %;6.00;83 %;10.00;80 %;2.00;100 %;1.00;100 %;4.00;25 %;15.00;13.00;1;1.00;-;-;113.00;99.00;88 %;-;-;-;-;-;-;-;-;0.57;0.40;0.17;0.03;0.03;53.00;-;-;11.00;1.00;-;3.00;-;15.00;10.00;5.00;8.00;2.00;1.00;1.00
Илья Зуев;ФК Волгарь;242;95;З ЛЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;1.00;1.00;-;0.11;42.00;86 %;-;-;-;-;16.00;69 %;5.00;60 %;1.00;100 %;6.00;83 %;-;-;4.00;2.00;-;14.00;-;-;7.00;86 %;5.00;100 %;2.00;50 %;4.00;100 %;1.00;0 %;-;-;-;-;15.00;11.00;1;1.00;-;-;76.00;68.00;89 %;0 %;1.00;-;-;-;0.11;-;0.00;0.40;0.57;-0.17;-;-;36.00;-;-;11.00;3.00;1.00;5.00;-;6.00;5.00;1.00;4.00;-;-;-
Астемир Абазов;Сокол Саратов;218;94;З ЛЦ;-;-;-;-;-;-;-;2.00;-;1.00;-;-;-;1.00;-;0.14;55.00;87 %;-;-;-;-;11.00;64 %;6.00;67 %;2.00;0 %;7.00;86 %;-;-;3.00;1.00;-;12.00;2.00;4.00;18.00;78 %;10.00;90 %;8.00;63 %;8.00;88 %;2.00;50 %;1.00;100 %;2.00;50 %;8.00;7.00;1;1.00;-;-;93.00;81.00;87 %;0 %;1.00;-;-;-;0.14;-;0.00;0.66;0.90;-0.24;0.36;0.18;48.00;-;-;7.00;4.00;-;6.00;-;14.00;9.00;5.00;7.00;1.00;1.00;1.00
Кирилл Большаков;Арсенал Тула;246;94;З ЛЦ;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;-;-;47.00;87 %;1.00;100 %;-;-;17.00;76 %;7.00;71 %;1.00;100 %;6.00;83 %;-;-;2.00;-;-;10.00;2.00;5.00;10.00;90 %;9.00;89 %;1.00;100 %;6.00;83 %;-;-;-;-;-;-;5.00;7.00;1;1.00;-;-;74.00;67.00;91 %;-;-;-;-;-;-;-;-;2.3;0.42;1.61;-;-;41.00;1.00;-;13.00;5.00;1.00;5.00;-;9.00;8.00;1.00;5.00;-;-;-
Сергей Бородин;Торпедо Москва;195;94;З ЛЦ;-;-;-;-;-;-;2.00;-;-;1.00;-;-;-;-;-;-;35.00;63 %;-;-;-;-;12.00;25 %;7.00;57 %;1.00;100 %;5.00;40 %;-;-;5.00;2.00;-;11.00;1.00;-;27.00;78 %;25.00;76 %;2.00;100 %;11.00;82 %;-;-;-;-;8.00;88 %;8.00;12.00;1;1.00;-;-;82.00;63.00;77 %;-;-;-;-;-;-;-;-;0.42;2.3;-1.61;0.64;0.16;22.00;-;-;3.00;4.00;1.00;2.00;-;21.00;19.00;2.00;9.00;-;-;7.00
Марио Чурич;Торпедо Москва;171;94;ЗП ЛЦ;-;-;-;-;-;-;2.00;2.00;-;1.00;1.00;-;-;-;-;-;20.00;75 %;-;-;-;-;6.00;67 %;1.00;100 %;1.00;100 %;4.00;75 %;4.00;25 %;3.00;2.00;1.00;1.00;-;2.00;15.00;33 %;10.00;40 %;5.00;20 %;2.00;50 %;4.00;25 %;1.00;0 %;4.00;50 %;4.00;2.00;1;1.00;-;-;44.00;28.00;64 %;-;-;-;-;-;-;-;-;0.42;2.3;-1.61;0.05;0.03;15.00;-;-;4.00;1.00;1.00;3.00;1.00;5.00;4.00;1.00;1.00;1.00;-;2.00
Иван Енин;Торпедо Москва;193;94;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;37.00;81 %;-;-;-;-;8.00;63 %;4.00;75 %;-;-;5.00;60 %;-;-;1.00;1.00;-;3.00;-;-;13.00;69 %;12.00;67 %;1.00;100 %;5.00;60 %;-;-;-;-;2.00;50 %;7.00;9.00;1;1.00;-;-;67.00;56.00;84 %;-;-;-;-;-;-;-;-;0.42;2.3;-1.61;0.42;0.21;30.00;-;-;5.00;3.00;-;3.00;-;9.00;8.00;1.00;3.00;-;-;1.00
Андрей Евдокимов;Сокол Саратов;221;94;З ПЦ;-;-;-;-;-;-;-;2.00;1.00;2.00;-;-;-;-;-;-;74.00;88 %;-;-;-;-;17.00;65 %;8.00;50 %;-;-;5.00;40 %;-;-;6.00;2.00;-;27.00;3.00;1.00;27.00;81 %;23.00;83 %;4.00;75 %;17.00;76 %;1.00;0 %;-;-;-;-;21.00;7.00;1;1.00;-;-;131.00;117.00;89 %;-;-;-;-;0.02;-;-;-;0.66;0.90;-0.24;0.56;0.28;65.00;-;-;11.00;4.00;-;2.00;-;22.00;19.00;3.00;13.00;-;-;-
Данила Ежков;Сокол Саратов;190;94;АП Ц;-;-;-;-;-;-;4.00;-;-;-;-;-;1.00;-;-;-;23.00;65 %;-;-;1.00;0 %;5.00;40 %;-;-;-;-;3.00;33 %;1.00;0 %;15.00;1.00;-;-;-;1.00;32.00;22 %;6.00;33 %;26.00;19 %;13.00;15 %;5.00;40 %;2.00;50 %;1.00;0 %;-;3.00;1;1.00;-;-;59.00;26.00;44 %;-;-;-;-;0.04;-;-;-;0.66;0.90;-0.24;-;-;15.00;-;-;2.00;-;-;1.00;-;7.00;2.00;5.00;2.00;2.00;1.00;-
Ишхан Гелоян;Арсенал Тула;261;94;АП Л;1.00;-;3.00;1.00;33 %;1.00;-;2.00;-;-;-;-;-;4.00;3.00;0.77;23.00;87 %;1.00;100 %;1.00;100 %;6.00;83 %;1.00;100 %;-;-;4.00;75 %;1.00;100 %;6.00;-;-;2.00;1.00;4.00;21.00;43 %;1.00;100 %;20.00;40 %;8.00;25 %;5.00;60 %;2.00;50 %;1.00;100 %;5.00;1.00;1;1.00;-;-;58.00;42.00;72 %;75 %;1.00;-;-;0.47;0.19;0.77;1.30;2.3;0.42;1.61;-;-;20.00;1.00;1.00;5.00;1.00;-;3.00;1.00;9.00;1.00;8.00;2.00;3.00;1.00;1.00
Ян Гудков;Сокол Саратов;222;94;ЗЛ;-;-;-;-;-;-;1.00;4.00;-;-;-;-;-;1.00;1.00;0.03;39.00;69 %;-;-;3.00;33 %;8.00;50 %;4.00;0 %;1.00;0 %;5.00;40 %;6.00;33 %;10.00;2.00;-;12.00;-;2.00;27.00;81 %;18.00;78 %;9.00;89 %;7.00;100 %;3.00;67 %;3.00;67 %;4.00;75 %;10.00;4.00;1;1.00;-;-;84.00;67.00;80 %;100 %;-;-;-;0.06;0.03;-;0.00;0.66;0.90;-0.24;0.02;0.02;27.00;-;1.00;4.00;-;-;2.00;2.00;22.00;14.00;8.00;7.00;2.00;2.00;3.00
Валерий Каптилов;Ленинградец;208;94;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;38.00;68 %;-;-;2.00;50 %;12.00;42 %;5.00;20 %;-;-;9.00;33 %;4.00;25 %;5.00;-;-;13.00;3.00;6.00;20.00;65 %;18.00;72 %;2.00;0 %;9.00;56 %;-;-;-;-;6.00;67 %;6.00;8.00;1;1.00;-;-;79.00;60.00;76 %;-;-;-;-;-;-;-;-;0.90;0.66;0.24;0.07;0.02;26.00;-;1.00;5.00;1.00;-;3.00;1.00;13.00;13.00;-;5.00;-;-;4.00
