Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Алан Цараев;Алания Владикавказ;180;31;П ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.05;7.00;71 %;1.00;0 %;-;-;1.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;1.00;1.00;-;1.00;-;1.00;5.00;0 %;4.00;0 %;1.00;0 %;-;-;-;-;-;-;2.00;0 %;2.00;2.00;1;-;-;1.00;18.00;10.00;56 %;0 %;-;1.00;-;-;0.05;-;0.00;0.66;0.18;0.48;-;-;5.00;-;-;1.00;1.00;-;1.00;-;-;-;-;-;-;-;-
Илья Петров;СКА-Хабаровск;167;30;ЗП Ц;-;-;-;-;-;1.00;-;-;-;-;-;-;-;1.00;-;0.02;15.00;80 %;-;-;1.00;0 %;5.00;80 %;4.00;75 %;-;-;3.00;100 %;5.00;80 %;2.00;1.00;-;1.00;-;-;6.00;33 %;4.00;25 %;2.00;50 %;1.00;100 %;-;-;-;-;-;-;2.00;3.00;1;-;-;1.00;27.00;19.00;70 %;0 %;1.00;-;-;0.41;0.02;-;0.00;0.55;0.83;-0.28;0.04;0.04;12.00;-;-;4.00;3.00;-;3.00;4.00;2.00;1.00;1.00;1.00;-;-;-
Михаил Петров;Тюмень;199;30;ЗП ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;2.00;1.00;3.00;0 %;2.00;0 %;1.00;0 %;-;-;-;-;-;-;2.00;0 %;2.00;1.00;1;-;-;1.00;13.00;10.00;77 %;-;-;-;-;-;-;-;-;0.93;0.10;0.83;0.07;0.07;5.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Илья Порохов;Тюмень;197;30;АП Л;-;-;2.00;-;0 %;-;-;-;-;-;-;-;-;3.00;-;0.52;5.00;60 %;-;-;-;-;3.00;67 %;2.00;50 %;-;-;2.00;50 %;-;-;5.00;-;1.00;1.00;-;1.00;5.00;40 %;1.00;100 %;4.00;25 %;1.00;0 %;2.00;0 %;1.00;0 %;1.00;100 %;1.00;1.00;1;-;-;1.00;17.00;8.00;47 %;0 %;2.00;1.00;-;-;0.17;-;0.00;0.93;0.10;0.83;-;-;3.00;-;-;2.00;1.00;-;1.00;-;2.00;1.00;1.00;-;-;-;1.00
Евгений Татаринов;Тюмень;221;30;Ф Ц;1.00;-;1.00;1.00;100 %;1.00;3.00;-;-;-;-;-;-;1.00;1.00;0.12;2.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;2.00;-;-;1.00;-;-;8.00;13 %;-;-;8.00;13 %;4.00;25 %;-;-;-;-;-;-;1.00;-;1;-;-;1.00;12.00;5.00;42 %;100 %;-;-;-;0.29;0.12;0.12;8.33;0.93;0.10;0.83;-;-;2.00;-;-;1.00;-;-;-;-;1.00;-;1.00;1.00;-;-;-
Дмитрий Лесников;ФК Волгарь;166;29;Ф Ц;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;-;0.05;5.00;40 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;6.00;1.00;1.00;-;-;1.00;8.00;25 %;2.00;50 %;6.00;17 %;5.00;20 %;-;-;-;-;-;-;-;2.00;1;-;-;1.00;18.00;7.00;39 %;0 %;1.00;-;-;0.03;0.05;-;0.00;0.16;0.16;0.00;-;-;2.00;-;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-
Аслан Муталиев;Кубань Краснодар;172;29;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.02;7.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;2.00;-;-;-;6.00;0 %;1.00;0 %;5.00;0 %;1.00;0 %;-;-;-;-;1.00;0 %;-;1.00;1;-;-;1.00;17.00;8.00;47 %;0 %;-;1.00;-;-;0.02;-;0.00;0.18;0.66;-0.48;-;-;7.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Владислав Самко;Родина Москва;188;29;П П;-;-;-;-;-;-;2.00;2.00;1.00;1.00;-;-;-;-;-;-;8.00;75 %;1.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;3.00;3.00;-;1.00;1.00;1.00;8.00;38 %;6.00;33 %;2.00;50 %;2.00;0 %;1.00;100 %;-;-;3.00;67 %;2.00;1.00;1;-;-;1.00;20.00;13.00;65 %;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;-;-;-;-;-;-;-;3.00;2.00;1.00;-;1.00;-;2.00
Кирилл Ушатов;ФК Волгарь;234;29;П ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;14.00;71 %;-;-;-;-;4.00;75 %;1.00;0 %;-;-;1.00;0 %;1.00;0 %;3.00;-;-;4.00;1.00;1.00;15.00;67 %;6.00;83 %;9.00;56 %;5.00;60 %;5.00;80 %;1.00;100 %;3.00;67 %;3.00;5.00;1;-;-;1.00;38.00;29.00;76 %;-;-;-;-;0.05;-;-;-;0.16;0.16;0.00;-;-;10.00;-;-;3.00;-;-;-;-;10.00;5.00;5.00;3.00;4.00;1.00;2.00
Саид Алиев;СКА-Хабаровск;175;24;П ЛЦ;-;-;-;-;-;-;-;3.00;1.00;1.00;-;-;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;1.00;-;-;-;-;1.00;3.00;67 %;-;-;3.00;67 %;-;-;2.00;100 %;2.00;100 %;-;-;-;-;1;-;-;1.00;6.00;5.00;83 %;-;-;-;-;-;-;-;-;0.55;0.82;-0.27;-;-;2.00;-;-;-;-;-;1.00;-;2.00;-;2.00;-;2.00;2.00;-
Камиль Ибрагимов;Динамо Махачкала;172;24;Ф Ц;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;-;0.45;4.00;50 %;-;-;-;-;1.00;0 %;-;-;-;-;1.00;0 %;-;-;5.00;-;1.00;-;-;-;8.00;13 %;1.00;100 %;7.00;0 %;6.00;0 %;1.00;0 %;-;-;1.00;100 %;1.00;3.00;1;-;-;1.00;18.00;7.00;39 %;0 %;1.00;-;-;0.20;0.45;-;0.00;0.78;0.72;0.06;-;-;2.00;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Игорь Лебеденко;Торпедо Москва;191;24;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;60 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;2.00;1.00;-;-;-;4.00;50 %;-;-;4.00;50 %;2.00;0 %;1.00;100 %;-;-;-;-;1.00;1.00;1;-;-;1.00;13.00;8.00;62 %;-;-;-;-;-;-;-;-;-;0.61;-0.61;0.01;0.01;3.00;-;-;-;-;-;-;-;2.00;-;2.00;-;1.00;-;-
Андрюс Рукас;СКА-Хабаровск;179;24;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;8.00;100 %;-;-;-;-;3.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;-;3.00;-;-;4.00;100 %;3.00;100 %;1.00;100 %;4.00;100 %;-;-;-;-;-;-;1.00;3.00;1;-;-;1.00;16.00;16.00;100 %;-;-;-;-;-;-;-;-;0.55;0.82;-0.27;-;-;8.00;-;-;3.00;-;-;2.00;-;4.00;3.00;1.00;4.00;-;-;-
Илья Стефанович;Торпедо Москва;163;24;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;50 %;-;-;1.00;0 %;1.00;100 %;-;-;-;-;-;-;1.00;0 %;3.00;-;1.00;-;-;-;4.00;0 %;-;-;4.00;0 %;4.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;9.00;2.00;22 %;-;-;-;-;-;-;-;-;-;0.61;-0.61;0.08;0.08;2.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-
Абу-Сад Элударушев;ФК Акрон Тольятти;166;23;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;2.00;-;-;-;-;-;4.00;25 %;-;-;4.00;25 %;3.00;33 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;9.00;6.00;67 %;-;-;-;-;-;-;-;-;0.07;0.44;-0.37;-;-;4.00;-;-;1.00;-;-;1.00;-;1.00;-;1.00;1.00;-;-;-
Евгений Песегов;ФК Акрон Тольятти;184;23;АП Ц;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;19.00;89 %;-;-;-;-;6.00;67 %;2.00;100 %;-;-;2.00;100 %;3.00;67 %;2.00;1.00;-;3.00;2.00;-;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;2.00;100 %;-;4.00;1;-;-;1.00;25.00;23.00;92 %;-;-;-;-;-;-;-;-;0.07;0.44;-0.37;-;-;17.00;-;-;4.00;2.00;-;2.00;2.00;2.00;2.00;-;-;-;-;2.00
Лев Скворцов;Химки;191;23;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;67 %;-;-;1.00;0 %;3.00;33 %;-;-;-;-;2.00;50 %;2.00;0 %;1.00;-;1.00;1.00;-;-;4.00;50 %;1.00;100 %;3.00;33 %;3.00;33 %;-;-;-;-;-;-;1.00;2.00;1;-;-;1.00;17.00;11.00;65 %;-;-;-;-;-;-;-;-;0.16;0.06;0.10;-;-;6.00;-;-;1.00;-;-;1.00;-;2.00;1.00;1.00;1.00;-;-;-
Данил Степанов;Химки;194;23;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16.00;75 %;-;-;2.00;0 %;3.00;67 %;-;-;-;-;3.00;100 %;3.00;33 %;2.00;1.00;-;-;-;2.00;5.00;100 %;4.00;100 %;1.00;100 %;2.00;100 %;-;-;-;-;2.00;100 %;1.00;1.00;1;-;-;1.00;25.00;21.00;84 %;-;-;-;-;0.26;-;-;-;0.16;0.06;0.10;-;-;12.00;-;-;2.00;-;-;3.00;1.00;5.00;4.00;1.00;2.00;-;-;2.00
Константин Базелюк;Нефтехимик Нижнекамск;233;22;АП ПЦ;1.00;-;1.00;1.00;100 %;-;-;1.00;-;-;-;-;1.00;1.00;1.00;0.75;5.00;80 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;2.00;-;-;1.00;1.00;-;5.00;80 %;1.00;100 %;4.00;75 %;2.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;-;1.00;1;-;-;1.00;12.00;10.00;83 %;100 %;-;-;-;-;0.75;0.75;1.33;-;-;-;-;-;4.00;-;-;-;-;-;-;-;4.00;1.00;3.00;2.00;1.00;1.00;1.00
Борис Фартуна;КамАЗ Набережные Челны;192;22;АП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;9.00;67 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;2.00;0 %;2.00;-;-;1.00;-;1.00;4.00;50 %;1.00;0 %;3.00;67 %;-;-;1.00;100 %;1.00;100 %;1.00;0 %;1.00;1.00;1;-;-;1.00;16.00;11.00;69 %;-;-;-;-;-;-;-;-;0.33;0.35;-0.02;-;-;6.00;-;-;1.00;-;-;-;-;2.00;-;2.00;-;1.00;1.00;-
Юрий Кириллов;КамАЗ Набережные Челны;193;22;П ПЦ;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;-;11.00;55 %;-;-;2.00;0 %;5.00;60 %;1.00;100 %;-;-;2.00;100 %;3.00;0 %;3.00;-;-;-;-;-;3.00;0 %;3.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;-;3.00;1;-;-;1.00;17.00;9.00;53 %;-;-;-;-;-;-;-;-;0.33;0.35;-0.02;-;-;6.00;-;-;3.00;1.00;-;2.00;-;-;-;-;-;-;-;-
Анатолий Немченко;Енисей Красноярск;192;22;АП Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;11.00;91 %;-;-;2.00;50 %;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;1.00;-;1.00;4.00;75 %;1.00;100 %;3.00;67 %;2.00;50 %;-;-;-;-;1.00;100 %;1.00;2.00;1;-;-;1.00;19.00;17.00;89 %;-;-;-;-;0.15;-;-;-;0.82;0.55;0.27;-;-;10.00;-;1.00;-;-;-;-;2.00;3.00;1.00;2.00;1.00;-;-;1.00
Марат Ситдиков;Нефтехимик Нижнекамск;194;22;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14.00;71 %;-;-;2.00;0 %;5.00;40 %;2.00;0 %;-;-;2.00;50 %;3.00;33 %;3.00;-;-;5.00;2.00;-;3.00;67 %;1.00;100 %;2.00;50 %;-;-;2.00;50 %;1.00;0 %;1.00;100 %;1.00;5.00;1;-;-;1.00;23.00;18.00;78 %;-;-;-;-;-;-;-;-;-;-;-;-;-;10.00;-;-;2.00;-;-;1.00;1.00;2.00;1.00;1.00;-;1.00;-;1.00
Денис Талалай;Нефтехимик Нижнекамск;171;22;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;-;-;1.00;1.00;-;-;-;2.00;3.00;67 %;1.00;0 %;2.00;100 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;12.00;10.00;83 %;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;-;-;2.00;-;-;1.00;-;2.00;-;2.00;-;-;-;-
